ColonyID,SampleID,Species,Phenotype,Treatment,Tank,Assigned_Timepoint,Date_Sampled,Assay,Notes
19,MC-19-H3,Montipora capitata,Susceptible,High,H3,TP2,,Physiology & C13,
20,MC-20-A1-pHi,Montipora capitata,Resistant,Ambient,A1,TP2,,Intracellular pH,
20,MC-20-A1,Montipora capitata,Resistant,Ambient,A1,TP2,,Physiology & C13,
20,MC-20-A2-pHi,Montipora capitata,Resistant,Ambient,A2,BACKUP,,Intracellular pH,
20,MC-20-A2,Montipora capitata,Resistant,Ambient,A2,BACKUP,,Physiology & C13,
42,PC-42-A1,Porites compressa,Resistant,Ambient,A1,TP1,,Physiology & C13,
234,PC-234-A1,Porites compressa,Resistant,Ambient,A1,TP1,,Physiology & C13,
20,MC-20-H1-pHi,Montipora capitata,Resistant,High,H1,TP2,,Intracellular pH,
20,MC-20-H1,Montipora capitata,Resistant,High,H1,TP2,,Physiology & C13,
20,MC-20-H2-pHi,Montipora capitata,Resistant,High,H2,BACKUP,,Intracellular pH,
20,MC-20-H2,Montipora capitata,Resistant,High,H2,BACKUP,,Physiology & C13,
237,PC-237-A1,Porites compressa,Susceptible,Ambient,A1,TP1,,Physiology & C13,
240,PC-240-A1,Porites compressa,Resistant,Ambient,A1,TP1,,Physiology & C13,
202,MC-202-A1-pHi,Montipora capitata,Resistant,Ambient,A1,BACKUP,,Intracellular pH,
202,MC-202-A1,Montipora capitata,Resistant,Ambient,A1,BACKUP,,Physiology & C13,
243,PC-243-A1,Porites compressa,Susceptible,Ambient,A1,TP1,,Physiology & C13,
248,PC-248-A1,Porites compressa,Resistant,Ambient,A1,TP1,,Physiology & C13,
202,MC-202-A3-pHi,Montipora capitata,Resistant,Ambient,A3,TP2,,Intracellular pH,
202,MC-202-A3,Montipora capitata,Resistant,Ambient,A3,TP2,,Physiology & C13,
202,MC-202-H1-pHi,Montipora capitata,Resistant,High,H1,BACKUP,,Intracellular pH,
202,MC-202-H1,Montipora capitata,Resistant,High,H1,BACKUP,,Physiology & C13,
28,PC-28-A1,Porites compressa,Susceptible,Ambient,A1,TP1,,Physiology & C13,
225,PC-225-A1,Porites compressa,Susceptible,Ambient,A1,TP1,,Physiology & C13,
