ColonyID,SampleID,Species,Phenotype,Treatment,Tank,Assigned_Timepoint,Date_Sampled,Assay,Notes
19,MC-19-H2,Montipora capitata,Susceptible,High,H2,TP1,,Physiology & C13,
235,PC-235-H3,Porites compressa,Susceptible,High,H3,TP2,,Physiology & C13,
236,PC-236-A1,Porites compressa,Resistant,Ambient,A1,TP2,,Physiology & C13,
236,PC-236-A2,Porites compressa,Resistant,Ambient,A2,BACKUP,,Physiology & C13,
202,MC-202-H2-pHi,Montipora capitata,Resistant,High,H2,TP1,,Intracellular pH,
236,PC-236-H1,Porites compressa,Resistant,High,H1,TP2,,Physiology & C13,
236,PC-236-H2,Porites compressa,Resistant,High,H2,BACKUP,,Physiology & C13,
202,MC-202-H2,Montipora capitata,Resistant,High,H2,TP1,,Physiology & C13,
206,MC-206-H2-pHi,Montipora capitata,Resistant,High,H2,TP1,,Intracellular pH,
237,PC-237-A2,Porites compressa,Susceptible,Ambient,A2,TP2,,Physiology & C13,
237,PC-237-A3,Porites compressa,Susceptible,Ambient,A3,BACKUP,,Physiology & C13,
206,MC-206-H2,Montipora capitata,Resistant,High,H2,TP1,,Physiology & C13,
237,PC-237-H2,Porites compressa,Susceptible,High,H2,TP2,,Physiology & C13,
237,PC-237-H3,Porites compressa,Susceptible,High,H3,BACKUP,,Physiology & C13,
238,PC-238-A1,Porites compressa,Resistant,Ambient,A1,BACKUP,,Physiology & C13,
213,MC-213-H2-pHi,Montipora capitata,Susceptible,High,H2,TP1,,Intracellular pH,
238,PC-238-A3,Porites compressa,Resistant,Ambient,A3,TP2,,Physiology & C13,
238,PC-238-H1,Porites compressa,Resistant,High,H1,BACKUP,,Physiology & C13,
213,MC-213-H2,Montipora capitata,Susceptible,High,H2,TP1,,Physiology & C13,
238,PC-238-H3,Porites compressa,Resistant,High,H3,TP2,,Physiology & C13,
239,PC-239-A1,Porites compressa,Susceptible,Ambient,A1,TP2,,Physiology & C13,
239,PC-239-A2,Porites compressa,Susceptible,Ambient,A2,BACKUP,,Physiology & C13,
26,PC-26-H2,Porites compressa,Susceptible,High,H2,TP1,,Physiology & C13,
239,PC-239-H1,Porites compressa,Susceptible,High,H1,TP2,,Physiology & C13,
239,PC-239-H2,Porites compressa,Susceptible,High,H2,BACKUP,,Physiology & C13,
43,PC-43-H2,Porites compressa,Susceptible,High,H2,TP1,,Physiology & C13,
235,PC-235-H2,Porites compressa,Susceptible,High,H2,TP1,,Physiology & C13,
240,PC-240-A2,Porites compressa,Resistant,Ambient,A2,TP2,,Physiology & C13,
240,PC-240-A3,Porites compressa,Resistant,Ambient,A3,BACKUP,,Physiology & C13,
238,PC-238-H2,Porites compressa,Resistant,High,H2,TP1,,Physiology & C13,
240,PC-240-H2,Porites compressa,Resistant,High,H2,TP2,,Physiology & C13,
240,PC-240-H3,Porites compressa,Resistant,High,H3,BACKUP,,Physiology & C13,
244,PC-244-H2,Porites compressa,Resistant,High,H2,TP1,,Physiology & C13,
243,PC-243-A2,Porites compressa,Susceptible,Ambient,A2,TP2,,Physiology & C13,
243,PC-243-A3,Porites compressa,Susceptible,Ambient,A3,BACKUP,,Physiology & C13,
29,PC-29-H2,Porites compressa,Resistant,High,H2,TP1,,Physiology & C13,
243,PC-243-H2,Porites compressa,Susceptible,High,H2,TP2,,Physiology & C13,
243,PC-243-H3,Porites compressa,Susceptible,High,H3,BACKUP,,Physiology & C13,
244,PC-244-A1,Porites compressa,Resistant,Ambient,A1,BACKUP,,Physiology & C13,
226,PC-226-H2,Porites compressa,Resistant,High,H2,TP1,,Physiology & C13,
