Treatment_Tank,Rainbow_Tank,Treatment,Use,controller
A2,7,Ambient,Exposures,38
H1,8,High,Exposures,42
A3,9,Ambient,Exposures,40
A1,10,Ambient,Exposures,37
H3,11,High,Exposures,32
H2,12,High,Exposures,30
