SampleID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope,Avg_Blank_Slope,Blank_Corrected_Slope
PC-28-phys,2,1,0,320,268.067,251.061,177.85,193.801,250.477,268.342,-1.2106723662354122,-0.06714210720597372,-1.1435302590294385
PC-28-phys,2,2,155,294,201.46,200.017,106.154,120.801,199.873,201.766,-0.07014138268431938,-0.07877163362150494,0.008630250937185557
PC-28-phys,2,3,269,200,199.904,203.882,121.851,131.8,199.646,204.155,0.48239691354754916,-0.08844391784982573,0.5708408313973748
PC-28-phys,2,4,472,200,204.67,213.678,132.85,142.801,204.465,213.783,0.936122222221159,-0.09825131730430908,1.034373539525468
PC-28-phys,2,5,824,200,214.874,228.434,143.851,153.8,214.848,228.484,1.404152898983779,-0.10105786629015398,1.505210765273933
PC-28-phys,2,6,1017,200,229.839,246.15,154.851,164.801,229.839,246.15,1.5893186385716338,-0.10140806112345321,1.690726699695087
PC-28-phys,2,7,1313,200,247.794,264.578,165.851,175.801,247.794,264.634,1.7539437876108162,-0.11454459624117248,1.8684883838519886
