SampleID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope,Avg_Blank_Slope,Blank_Corrected_Slope
MC-213-phys,1,1,0,321,240.413,228.854,70.851,86.85,228.614,241.591,-1.0905503309152287,-0.06714210720597372,-1.023408223709255
MC-213-phys,1,2,155,298,188.125,187.84,0,14.851,187.302,188.125,0.03238111007766403,-0.07877163362150494,0.11115274369916897
MC-213-phys,1,3,269,201,187.95,191.209,15.851,25.851,187.804,191.289,0.3879499032270441,-0.08844391784982573,0.47639382107686984
MC-213-phys,1,4,472,201,191.707,199.087,26.851,36.851,191.658,199.087,0.8099140813128803,-0.09825131730430908,0.9081653986171894
MC-213-phys,1,5,824,201,200.071,210.414,37.851,47.851,199.865,210.414,1.0758849866355558,-0.10105786629015398,1.1769428529257098
MC-213-phys,1,6,1017,201,211.405,224.257,48.851,58.851,211.266,224.29,1.3070405994562004,-0.10140806112345321,1.4084486605796536
MC-213-phys,1,7,1313,201,225.263,238.562,59.851,69.851,225.263,238.562,1.3185464010172816,-0.11454459624117248,1.433090997258454
