SampleID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope,Avg_Blank_Slope,Blank_Corrected_Slope
PC-241-phys,4,1,0,300,178.239,164.347,395.902,410.852,164.248,178.455,-1.0524134638951774,-0.06714210720597372,-0.9852713566892037
PC-241-phys,4,2,155,320,162.444,157.386,322.902,338.851,157.215,162.444,-0.2772551490743623,-0.07877163362150494,-0.19848351545285733
PC-241-phys,4,3,269,200,157.082,156.144,339.902,349.852,156.012,157.106,-0.0678194026013815,-0.08844391784982573,0.020624515248444233
PC-241-phys,4,4,472,220,156.025,158.441,350.901,361.852,155.876,158.611,0.24989808769126373,-0.09825131730430908,0.3481494049955728
PC-241-phys,4,5,824,200,158.406,163.087,362.902,372.851,158.406,163.087,0.4723614513015832,-0.10105786629015398,0.5734193175917371
PC-241-phys,4,6,1017,200,163.566,169.227,373.901,383.851,163.442,169.447,0.5962259693904951,-0.10140806112345321,0.6976340305139483
PC-241-phys,4,7,1313,200,170.158,177.007,384.902,394.851,170.022,177.095,0.7093177928737743,-0.11454459624117248,0.8238623891149468
