SampleID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope,Avg_Blank_Slope,Blank_Corrected_Slope
PC-236-phys,2,1,0,320,256.326,246.442,177.656,193.606,246.361,256.568,-0.7055951038558074,-0.06714210720597372,-0.6384529966498337
PC-236-phys,2,2,155,289,201.849,203.172,106.2,120.606,201.035,203.35,0.1545985708390672,-0.07877163362150494,0.23337020446057213
PC-236-phys,2,3,269,200,203.462,208.556,121.656,131.606,203.432,208.556,0.5196714653934232,-0.08844391784982573,0.608115383243249
PC-236-phys,2,4,472,200,209.047,217.178,132.656,142.606,209.047,217.178,0.851737880793461,-0.09825131730430908,0.9499891980977702
PC-236-phys,2,5,824,200,218.115,227.77,143.656,153.606,217.871,228.065,1.007174362177518,-0.10105786629015398,1.108232228467672
PC-236-phys,2,6,1017,200,228.844,240.174,154.656,164.606,228.844,240.275,1.1143305652504143,-0.10140806112345321,1.2157386263738674
PC-236-phys,2,7,1313,200,241.558,253.57,165.656,175.606,241.2,253.771,1.25054050428181,-0.11454459624117248,1.3650851005229825
