SampleID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope,Avg_Blank_Slope,Blank_Corrected_Slope
PC-240-phys,2,1,0,320,264.6,243.85,177.817,193.767,243.788,265.173,-1.5520510418205955,-0.06714210720597372,-1.4849089346146218
PC-240-phys,2,2,155,293,204.321,200.291,106.163,120.767,200.275,204.321,-0.18620173595248887,-0.07877163362150494,-0.10743010233098393
PC-240-phys,2,3,269,200,200.076,202.945,121.817,131.767,199.853,202.945,0.36561233930598536,-0.08844391784982573,0.4540562571558111
PC-240-phys,2,4,472,200,203.174,212.576,132.817,142.767,203.174,212.618,1.09233155089346,-0.09825131730430908,1.190582868197769
PC-240-phys,2,5,824,200,213.782,227.402,143.817,153.767,213.782,227.402,1.4030406385730458,-0.10105786629015398,1.5040985048631998
PC-240-phys,2,6,1017,200,228.851,243.919,154.817,164.767,228.767,243.997,1.526553897368769,-0.10140806112345321,1.627961958492222
PC-240-phys,2,7,1313,200,245.719,261.755,165.817,175.767,245.719,261.844,1.6320022308979618,-0.11454459624117248,1.7465468271391342
