SampleID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope,Avg_Blank_Slope,Blank_Corrected_Slope
PC-238-phys,1,1,0,320,247.503,231.159,70.656,86.606,231.026,248.485,-1.3045955420328699,-0.06714210720597372,-1.2374534348268962
PC-238-phys,1,2,155,293,187.921,185.62,0,14.606,185.539,187.921,-0.015914642492598125,-0.07877163362150494,0.06285699112890682
PC-238-phys,1,3,269,200,185.823,188.947,15.656,25.606,185.58,188.947,0.39260652914324673,-0.08844391784982573,0.4810504469930725
PC-238-phys,1,4,472,200,189.256,197.793,26.656,36.606,189.166,197.819,0.9205816483093167,-0.09825131730430908,1.0188329656136257
PC-238-phys,1,5,824,200,198.875,210.936,37.656,47.606,198.813,210.992,1.3169029320846402,-0.10105786629015398,1.4179607983747942
PC-238-phys,1,6,1017,200,212.205,227.412,48.656,58.606,212.182,227.565,1.6272577964616914,-0.10140806112345321,1.7286658575851446
PC-238-phys,1,7,1313,200,229.245,245.702,59.656,69.606,229.245,245.791,1.6721112566886807,-0.11454459624117248,1.786655852929853
