SampleID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope,Avg_Blank_Slope,Blank_Corrected_Slope
PC-233-phys,3,1,0,321,261.812,249.306,286.639,302.639,249.306,262.832,-0.9715621611171354,-0.06714210720597372,-0.9044200539111618
PC-233-phys,3,2,155,302,203.238,201.893,214.596,229.639,201.746,203.238,-0.06087535017179968,-0.07877163362150494,0.017896283449705258
PC-233-phys,3,3,269,201,201.734,204.634,230.639,240.639,201.612,204.634,0.3183562454374187,-0.08844391784982573,0.40680016328724444
PC-233-phys,3,4,472,201,204.899,212.975,241.639,251.639,204.834,212.998,0.8511377673088037,-0.09825131730430908,0.9493890846131128
PC-233-phys,3,5,824,221,214.029,227.07,252.64,263.64,214.029,227.07,1.2307875234663597,-0.10105786629015398,1.3318453897565137
PC-233-phys,3,6,1017,201,228.314,243.022,264.639,274.639,228.314,243.022,1.492019251899304,-0.10140806112345321,1.5934273130227572
PC-233-phys,3,7,1313,201,244.54,259.987,275.639,285.639,244.37,260.116,1.5953310514047776,-0.11454459624117248,1.70987564764595
