SampleID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope,Avg_Blank_Slope,Blank_Corrected_Slope
PC-235-phys,1,1,0,320,160.579,155.188,70.902,86.852,155.188,161.62,-0.467947555813853,-0.06714210720597372,-0.40080544860787926
PC-235-phys,1,2,155,298,138.49,137.587,0,14.852,137.42,138.49,-0.021145199282705078,-0.07877163362150494,0.05762643433879986
PC-235-phys,1,3,269,200,137.559,138.273,15.901,25.852,137.346,138.461,0.09786273647151944,-0.08844391784982573,0.1863066543213452
PC-235-phys,1,4,472,200,138.392,141.407,26.902,36.852,138.218,141.451,0.32102798911602765,-0.09825131730430908,0.41927930642033673
PC-235-phys,1,5,824,200,141.794,146.235,37.902,47.851,141.651,146.247,0.4788578506995387,-0.10105786629015398,0.5799157169896927
PC-235-phys,1,6,1017,200,146.864,152.832,48.901,58.852,146.844,152.881,0.6252689866620794,-0.10140806112345321,0.7266770477855327
PC-235-phys,1,7,1313,200,153.555,159.847,59.902,69.851,153.392,159.847,0.6456362595664812,-0.11454459624117248,0.7601808558076537
