SampleID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope,Avg_Blank_Slope,Blank_Corrected_Slope
PC-225-phys,3,1,0,320,235.462,227.183,286.885,302.834,227.104,236.104,-0.6715819809733693,-0.06714210720597372,-0.6044398737673956
PC-225-phys,3,2,155,307,199.827,197.095,214.54,229.835,196.886,199.827,-0.14833381255629943,-0.07877163362150494,-0.0695621789347945
PC-225-phys,3,3,269,200,196.885,198.355,230.884,240.834,196.622,198.511,0.19365206236396326,-0.08844391784982573,0.282095980213789
PC-225-phys,3,4,472,200,198.641,204.007,241.884,251.834,198.516,204.007,0.5936066684844152,-0.09825131730430908,0.6918579857887244
PC-225-phys,3,5,824,220,204.534,213.186,252.885,263.834,204.534,213.186,0.8174250784503831,-0.10105786629015398,0.9184829447405372
PC-225-phys,3,6,1017,200,213.952,223.41,264.884,274.834,213.952,223.41,0.9298457315601679,-0.10140806112345321,1.0312537926836212
PC-225-phys,3,7,1313,200,224.198,234.127,275.885,285.834,224.198,234.127,1.0082623611522845,-0.11454459624117248,1.122806957393457
