SampleID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope,Avg_Blank_Slope,Blank_Corrected_Slope
PC-226-phys,3,1,0,320,215.158,212.48,286.851,302.801,212.178,215.791,-0.25651915815836424,-0.06714210720597372,-0.18937705095239052
PC-226-phys,3,2,155,306,209.644,208.842,214.553,229.801,208.842,209.907,-0.028401463205711443,-0.07877163362150494,0.050370170415793496
PC-226-phys,3,3,269,200,209.097,209.46,230.85,240.8,208.791,209.66,0.05746349169580863,-0.08844391784982573,0.14590740954563436
PC-226-phys,3,4,472,200,209.574,210.445,241.85,251.801,209.423,210.858,0.12334512665913765,-0.09825131730430908,0.22159644396344674
PC-226-phys,3,5,824,220,210.737,212.513,252.851,263.801,210.54,212.513,0.13630409128883322,-0.10105786629015398,0.2373619575789872
PC-226-phys,3,6,1017,200,212.025,213.675,264.851,274.801,212.025,213.786,0.13561168510367339,-0.10140806112345321,0.2370197462271266
PC-226-phys,3,7,1313,200,213.466,214.903,275.851,285.801,213.466,215.162,0.1378490463068013,-0.11454459624117248,0.2523936425479738
