SampleID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope,Avg_Blank_Slope,Blank_Corrected_Slope
PC-42-phys,3,1,0,320,236.493,223.875,286.987,302.937,223.875,236.934,-0.947092436371363,-0.06714210720597372,-0.8799503291653893
PC-42-phys,3,2,155,309,194.615,191.712,214.538,229.937,191.575,194.615,-0.1717215435528426,-0.07877163362150494,-0.09294990993133767
PC-42-phys,3,3,269,200,191.474,192.672,230.987,240.937,191.231,192.672,0.12877249789223597,-0.08844391784982573,0.21721641574206169
PC-42-phys,3,4,472,200,192.616,197.516,241.987,251.937,192.456,197.618,0.5625482734310714,-0.09825131730430908,0.6607995907353805
PC-42-phys,3,5,824,220,198.288,208.232,252.987,263.937,198.182,208.298,0.9351275557648119,-0.10105786629015398,1.0361854220549658
PC-42-phys,3,6,1017,200,209.242,220.517,264.987,274.937,209.242,220.583,1.163348059628502,-0.10140806112345321,1.264756120751955
PC-42-phys,3,7,1313,200,221.847,234.71,275.988,285.937,221.789,235.044,1.3242021817404226,-0.11454459624117248,1.438746777981595
