SampleID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope,Avg_Blank_Slope,Blank_Corrected_Slope
PC-242-phys,1,1,0,320,208.718,198.211,71.003,86.954,198.205,209.393,-0.8073565117866875,-0.06714210720597372,-0.7402144045807139
PC-242-phys,1,2,155,300,187.069,184.392,0,14.954,184.21,187.069,-0.11494580751179845,-0.07877163362150494,-0.03617417389029351
PC-242-phys,1,3,269,200,184.198,185.047,16.004,25.954,183.924,185.047,0.11467732953498877,-0.08844391784982573,0.20312124738481452
PC-242-phys,1,4,472,200,185.124,188.425,27.004,36.954,184.961,188.519,0.38010685352816026,-0.09825131730430908,0.47835817083246934
PC-242-phys,1,5,824,200,188.839,194.087,38.004,47.954,188.839,194.087,0.5202948293928045,-0.10105786629015398,0.6213526956829585
PC-242-phys,1,6,1017,200,194.561,201.046,49.004,58.954,194.561,201.063,0.6809833641255068,-0.10140806112345321,0.78239142524896
PC-242-phys,1,7,1313,200,201.349,208.109,60.004,69.954,201.349,208.225,0.6720691883471144,-0.11454459624117248,0.7866137845882869
