SampleID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope,Avg_Blank_Slope,Blank_Corrected_Slope
MC-12-phys,2,1,0,320,200.617,189.732,177.768,193.718,189.489,200.815,-0.8303642977847066,-0.06714210720597372,-0.7632221905787329
MC-12-phys,2,2,155,292,163.591,161.537,106.176,120.718,161.382,163.869,-0.12600833337731399,-0.07877163362150494,-0.04723669975580905
MC-12-phys,2,3,269,200,161.545,163.658,121.768,131.718,161.136,163.777,0.24562074269631584,-0.08844391784982573,0.3340646605461416
MC-12-phys,2,4,472,200,163.784,170.012,132.768,142.718,163.784,170.012,0.6521909106332572,-0.09825131730430908,0.7504422279375662
MC-12-phys,2,5,824,200,170.796,178.981,143.768,153.718,170.499,179.061,0.8322243155467307,-0.10105786629015398,0.9332821818368847
MC-12-phys,2,6,1017,200,179.592,188.627,154.768,164.718,179.592,188.704,0.8950566948524414,-0.10140806112345321,0.9964647559758947
MC-12-phys,2,7,1313,200,189.647,198.846,165.768,175.718,189.443,198.846,0.9312578730491003,-0.11454459624117248,1.0458024692902728
