SampleID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope,Avg_Blank_Slope,Blank_Corrected_Slope
PC-247-phys,2,1,0,320,243.971,229.473,177.963,193.913,229.473,244.491,-0.9793261455525616,-0.06714210720597372,-0.9121840383465879
PC-247-phys,2,2,155,298,200.239,198.505,106.069,120.913,198.3,200.459,-0.08914518562852873,-0.07877163362150494,-0.010373552007023792
PC-247-phys,2,3,269,200,198.263,200.937,121.963,131.913,198.048,201.074,0.3255445438995784,-0.08844391784982573,0.4139884617494041
PC-247-phys,2,4,472,200,201.426,207.631,132.963,142.913,201.339,207.748,0.7074520430107516,-0.09825131730430908,0.8057033603150607
PC-247-phys,2,5,824,200,208.596,217.138,143.963,153.913,208.268,217.138,0.9117774520055455,-0.10105786629015398,1.0128353182956995
PC-247-phys,2,6,1017,200,218.458,228.591,154.963,164.913,218.235,228.821,1.0866552686426332,-0.10140806112345321,1.1880633297660863
PC-247-phys,2,7,1313,200,230.035,241.633,165.963,175.913,230.035,241.633,1.1952095175543378,-0.11454459624117248,1.3097541137955102
