SampleID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope,Avg_Blank_Slope,Blank_Corrected_Slope
PC-43-phys,1,1,0,320,225.956,214.52,70.748,86.699,214.52,227.095,-0.9330878121646903,-0.06714210720597372,-0.8659457049587166
PC-43-phys,1,2,155,295,186.472,182.154,0,14.699,182.03,186.472,-0.13521605894217353,-0.07877163362150494,-0.056444425320668595
PC-43-phys,1,3,269,200,182.067,182.851,15.749,25.699,181.652,183.021,0.17215647043304266,-0.08844391784982573,0.2606003882828684
PC-43-phys,1,4,472,200,183.293,188.478,26.749,36.698,183.087,188.478,0.6003385409128555,-0.09825131730430908,0.6985898582171646
PC-43-phys,1,5,824,200,189.193,197.721,37.749,47.699,189.151,197.855,0.933027546751551,-0.10105786629015398,1.034085413041705
PC-43-phys,1,6,1017,200,198.777,210.226,48.749,58.698,198.777,210.361,1.1769232065160873,-0.10140806112345321,1.2783312676395404
PC-43-phys,1,7,1313,200,211.276,224.227,59.749,69.699,211.276,224.227,1.296274091881278,-0.11454459624117248,1.4108186881224505
