SampleID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope,Avg_Blank_Slope,Blank_Corrected_Slope
PC-243-phys,5,1,0,300,252.97,241.12,502.851,517.801,241.12,253.541,-0.9551751259781095,-0.06714210720597372,-0.8880330187721358
PC-243-phys,5,2,155,297,202.058,201.496,430.997,445.8,200.233,202.058,0.10656676710770568,-0.07877163362150494,0.18533840072921062
PC-243-phys,5,3,269,200,201.925,205.32,446.851,456.801,201.537,205.32,0.42396801981207716,-0.08844391784982573,0.5124119376619028
PC-243-phys,5,4,472,200,205.65,212.479,457.851,467.801,205.65,212.953,0.7631382381189418,-0.09825131730430908,0.8613895554232509
PC-243-phys,5,5,824,220,212.77,223.198,467.851,478.8,212.77,223.598,1.0046563317486326,-0.10105786629015398,1.1057141980387866
PC-243-phys,5,6,1017,200,224.466,236.167,479.85,489.8,224.466,236.167,1.1657679257569873,-0.10140806112345321,1.2671759868804404
PC-243-phys,5,7,1313,200,237.495,249.945,490.85,500.8,237.355,249.975,1.2827227806449486,-0.11454459624117248,1.397267376886121
