SampleID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope,Avg_Blank_Slope,Blank_Corrected_Slope
MC-2-phys,5,1,0,301,222.1,217.869,502.851,517.851,217.869,222.166,-0.3436427820324163,-0.06714210720597372,-0.2765006748264426
MC-2-phys,5,2,155,298,199.913,200.738,430.994,445.851,199.466,200.743,0.09324784187595297,-0.07877163362150494,0.1720194754974579
MC-2-phys,5,3,269,201,200.709,203.004,446.851,456.851,200.662,203.052,0.23497218303593925,-0.08844391784982573,0.323416100885765
MC-2-phys,5,4,472,201,203.333,206.735,457.851,467.851,203.173,206.773,0.36995495651230303,-0.09825131730430908,0.4682062738166121
MC-2-phys,5,5,824,221,206.735,211.397,467.851,478.851,206.694,211.397,0.4245174278820824,-0.10105786629015398,0.5255752941722364
MC-2-phys,5,6,1017,201,211.64,216.071,479.851,489.851,211.64,216.115,0.44524207716611414,-0.10140806112345321,0.5466501382895673
MC-2-phys,5,7,1313,201,216.61,221.035,490.851,500.851,216.61,221.172,0.45521686626793323,-0.11454459624117248,0.5697614625091058
