SampleID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope,Avg_Blank_Slope,Blank_Corrected_Slope
MC-211-phys,2,1,0,320,224.903,218.237,177.696,193.645,218.182,224.935,-0.48923281259180557,-0.06714210720597372,-0.4220907053858318
MC-211-phys,2,2,155,290,195.927,196.158,106.197,120.645,195.263,196.292,0.06780385029778008,-0.07877163362150494,0.14657548391928502
MC-211-phys,2,3,269,200,196.279,198.904,121.695,131.646,196.157,198.944,0.28760499800428013,-0.08844391784982573,0.3760489158541059
MC-211-phys,2,4,472,200,199.11,204.01,132.696,142.645,199.11,204.01,0.5031515599998526,-0.09825131730430908,0.6014028773041618
MC-211-phys,2,5,824,200,204.422,210.139,143.695,153.645,204.422,210.275,0.5801381123875725,-0.10105786629015398,0.6811959786777265
MC-211-phys,2,6,1017,200,210.946,216.689,154.695,164.645,210.834,216.998,0.601583305090406,-0.10140806112345321,0.7029913662138593
MC-211-phys,2,7,1313,200,217.57,223.487,165.695,175.645,217.426,223.648,0.6002154658665777,-0.11454459624117248,0.7147600621077502
