SampleID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope,Avg_Blank_Slope,Blank_Corrected_Slope
MC-202-phys,1,1,0,321,193.224,184.89,70.751,86.751,184.89,194.852,-0.8371818516400892,-0.06714210720597372,-0.7700397444341155
MC-202-phys,1,2,155,296,151.114,151.193,0,14.751,150.047,151.248,0.08559577774070577,-0.07877163362150494,0.16436741136221072
MC-202-phys,1,3,269,201,151.155,154.521,15.751,25.751,150.865,154.673,0.38555119729504406,-0.08844391784982573,0.4739951151448698
MC-202-phys,1,4,472,201,155.178,161.857,26.752,36.751,154.957,162.114,0.7377706157375268,-0.09825131730430908,0.8360219330418359
MC-202-phys,1,5,824,201,162.687,171.421,37.751,47.752,162.66,171.483,0.8761962142662585,-0.10105786629015398,0.9772540805564125
MC-202-phys,1,6,1017,201,172.272,182.258,48.751,58.751,172.272,182.279,1.0145416949598134,-0.10140806112345321,1.1159497560832665
MC-202-phys,1,7,1313,201,183.27,192.265,59.751,69.752,183.013,192.325,0.9328414571404238,-0.11454459624117248,1.0473860533815962
