SampleID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope,Avg_Blank_Slope,Blank_Corrected_Slope
PC-29-phys,4,1,0,301,278.466,262.611,395.716,410.715,262.611,280.743,-1.5602291808889994,-0.06714210720597372,-1.4930870736830257
PC-29-phys,4,2,155,320,202.015,199.92,322.765,338.715,199.794,202.094,-0.08985542663919038,-0.07877163362150494,-0.011083793017685445
PC-29-phys,4,3,269,201,199.637,203.336,339.715,349.715,199.546,203.447,0.43204658895658876,-0.08844391784982573,0.5204905068064145
PC-29-phys,4,4,472,221,203.511,215.398,350.715,361.716,203.511,215.459,1.225230039381317,-0.09825131730430908,1.323481356685626
PC-29-phys,4,5,824,201,216.775,234.631,362.715,372.715,216.661,234.631,1.7850782898905908,-0.10105786629015398,1.8861361561807448
PC-29-phys,4,6,1017,201,235.873,255.037,373.715,383.716,235.714,255.124,2.0216565117969965,-0.10140806112345321,2.1230645729204496
PC-29-phys,4,7,1313,201,256.707,275.966,384.715,394.715,256.707,275.975,2.1244981969430383,-0.11454459624117248,2.2390427931842107
