SampleID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope,Avg_Blank_Slope,Blank_Corrected_Slope
MC-4-phys,4,1,0,300,241.266,235.74,395.672,410.623,235.707,241.727,-0.5139641840326867,-0.06714210720597372,-0.44682207682671304
MC-4-phys,4,2,155,319,206.194,208.215,322.715,338.623,205.918,208.547,0.16096850930108084,-0.07877163362150494,0.23974014292258577
MC-4-phys,4,3,269,200,208.525,212.296,339.673,349.623,208.343,212.381,0.3741211195285303,-0.08844391784982573,0.462565037378356
MC-4-phys,4,4,472,220,212.429,219.191,350.673,361.622,212.291,219.324,0.6208755842453155,-0.09825131730430908,0.7191269015496247
MC-4-phys,4,5,824,200,219.677,226.116,362.673,372.623,219.656,226.313,0.6797070275745082,-0.10105786629015398,0.7807648938646622
MC-4-phys,4,6,1017,200,226.853,232.051,373.673,383.623,226.481,232.378,0.48326290214401996,-0.10140806112345321,0.5846709632674731
MC-4-phys,4,7,1313,200,231.656,240.512,384.672,394.623,231.656,240.63,0.847603114067632,-0.11454459624117248,0.9621477103088045
