SampleID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope,Avg_Blank_Slope,Blank_Corrected_Slope
MC-201-phys,1,1,0,320,205.406,198.292,70.695,86.645,198.292,206.038,-0.5849579214577166,-0.06714210720597372,-0.517815814251743
MC-201-phys,1,2,155,294,186.414,184.447,0,14.645,184.328,186.414,-0.01600682895804783,-0.07877163362150494,0.0627648046634571
MC-201-phys,1,3,269,200,184.309,185.605,15.695,25.645,184.219,185.676,0.15499376383435215,-0.08844391784982573,0.2434376816841779
MC-201-phys,1,4,472,200,185.84,189.872,26.695,36.645,185.766,189.89,0.3441128724994217,-0.09825131730430908,0.44236418980373077
MC-201-phys,1,5,824,200,190.251,194.69,37.695,47.645,190.179,194.69,0.4163772679923967,-0.10105786629015398,0.5174351342825507
MC-201-phys,1,6,1017,200,195.136,199.821,48.695,58.646,195.136,199.873,0.49488644708068474,-0.10140806112345321,0.596294508204138
MC-201-phys,1,7,1313,200,200.377,205.484,59.696,69.645,200.377,205.484,0.4555255958729849,-0.11454459624117248,0.5700701921141574
