 ,Area,Mean,StdDev,Min,Max,Filename
1,277856,30.741,50.698,0,248,tiff_images-copy
2,307200,28.616,48.797,0,248,tiff_images-copy0000.tif
3,307200,54.918,98.463,0,440,tiff_images-copy0001.tif
4,307200,1042.997,134.149,523,1274,tiff_images-copy0002.tif
5,307200,0.000,0.000,0,0,tiff_images-copy0003.tif
6,307200,28.616,48.797,0,248,tiff_images-copy0004.tif
7,307200,54.918,98.463,0,440,tiff_images-copy0005.tif
8,307200,26.544,32.150,0,154,tiff_images-copy0006.tif
9,307200,72.451,109.747,0,432,tiff_images-copy0007.tif
10,307200,1042.997,134.149,523,1274,tiff_images-copy0008.tif
11,307200,0.000,0.000,0,0,tiff_images-copy0009.tif
12,307200,26.544,32.150,0,154,tiff_images-copy0010.tif
13,307200,72.451,109.747,0,432,tiff_images-copy0011.tif
14,307200,25.275,32.575,0,158,tiff_images-copy0012.tif
15,307200,56.823,95.270,0,386,tiff_images-copy0013.tif
16,307200,1042.997,134.149,523,1274,tiff_images-copy0014.tif
17,307200,0.000,0.000,0,0,tiff_images-copy0015.tif
18,307200,25.275,32.575,0,158,tiff_images-copy0016.tif
19,307200,56.823,95.270,0,386,tiff_images-copy0017.tif
20,307200,26.544,34.767,0,157,tiff_images-copy0018.tif
21,307200,55.762,96.524,0,390,tiff_images-copy0019.tif
22,307200,1042.997,134.149,523,1274,tiff_images-copy0020.tif
23,307200,0.000,0.000,0,0,tiff_images-copy0021.tif
24,307200,26.544,34.767,0,157,tiff_images-copy0022.tif
25,307200,55.762,96.524,0,390,tiff_images-copy0023.tif
26,307200,27.584,47.168,0,275,tiff_images-copy0024.tif
27,307200,47.254,88.445,0,454,tiff_images-copy0025.tif
28,307200,1042.997,134.149,523,1274,tiff_images-copy0026.tif
29,307200,0.000,0.000,0,0,tiff_images-copy0027.tif
30,307200,27.584,47.168,0,275,tiff_images-copy0028.tif
31,307200,47.254,88.445,0,454,tiff_images-copy0029.tif
32,307200,23.785,32.849,0,149,tiff_images-copy0030.tif
33,307200,68.449,108.136,0,410,tiff_images-copy0031.tif
34,307200,1042.997,134.149,523,1274,tiff_images-copy0032.tif
35,307200,0.000,0.000,0,0,tiff_images-copy0033.tif
36,307200,23.785,32.849,0,149,tiff_images-copy0034.tif
37,307200,68.449,108.136,0,410,tiff_images-copy0035.tif
38,307200,25.394,35.889,0,165,tiff_images-copy0036.tif
39,307200,48.872,85.176,0,344,tiff_images-copy0037.tif
40,307200,1042.997,134.149,523,1274,tiff_images-copy0038.tif
41,307200,0.000,0.000,0,0,tiff_images-copy0039.tif
42,307200,25.394,35.889,0,165,tiff_images-copy0040.tif
43,307200,48.872,85.176,0,344,tiff_images-copy0041.tif
44,307200,30.771,38.946,0,178,tiff_images-copy0042.tif
45,307200,63.015,99.695,0,387,tiff_images-copy0043.tif
46,307200,1042.997,134.149,523,1274,tiff_images-copy0044.tif
47,307200,0.000,0.000,0,0,tiff_images-copy0045.tif
48,307200,30.771,38.946,0,178,tiff_images-copy0046.tif
49,307200,63.015,99.695,0,387,tiff_images-copy0047.tif
50,307200,22.214,30.171,0,154,tiff_images-copy0048.tif
51,307200,40.692,71.215,0,367,tiff_images-copy0049.tif
52,307200,1042.997,134.149,523,1274,tiff_images-copy0050.tif
