 ,Label,Area,Mean,StdDev,Mode,Min,Max,MinThr,MaxThr,Filename
1557,tiff_images - Copy1555.tif,80023,231.048,51.046,253,126,401,126,65535,tiff_images - Copy1555.tif
1558,tiff_images - Copy1556.tif,58095,96.390,32.167,68,55,187,55,65535,tiff_images - Copy1556.tif
1559,tiff_images - Copy1557.tif,68460,265.309,104.762,193,146,651,146,65535,tiff_images - Copy1557.tif
1560,tiff_images - Copy1558.tif,192643,1120.207,61.514,1108,1008,1264,1008,65535,tiff_images - Copy1558.tif
1561,tiff_images - Copy1559.tif,269400,0.000,0.000,0,0,0,0,0,tiff_images - Copy1559.tif
1562,tiff_images - Copy1560.tif,58095,96.390,32.167,68,55,187,55,65535,tiff_images - Copy1560.tif
1563,tiff_images - Copy1561.tif,68460,265.309,104.762,193,146,651,146,65535,tiff_images - Copy1561.tif
1564,tiff_images - Copy1562.tif,53710,108.762,31.160,114,61,218,61,65535,tiff_images - Copy1562.tif
1565,tiff_images - Copy1563.tif,60219,213.509,52.277,213,115,362,115,65535,tiff_images - Copy1563.tif
1566,tiff_images - Copy1564.tif,192643,1120.207,61.514,1108,1008,1264,1008,65535,tiff_images - Copy1564.tif
1567,tiff_images - Copy1565.tif,269400,0.000,0.000,0,0,0,0,0,tiff_images - Copy1565.tif
1568,tiff_images - Copy1566.tif,53710,108.762,31.160,114,61,218,61,65535,tiff_images - Copy1566.tif
1569,tiff_images - Copy1567.tif,60219,213.509,52.277,213,115,362,115,65535,tiff_images - Copy1567.tif
1570,tiff_images - Copy1568.tif,53034,59.191,18.561,36,34,125,34,65535,tiff_images - Copy1568.tif
1571,tiff_images - Copy1569.tif,40280,173.651,38.451,204,94,252,94,65535,tiff_images - Copy1569.tif
1572,tiff_images - Copy1570.tif,192643,1120.207,61.514,1108,1008,1264,1008,65535,tiff_images - Copy1570.tif
1573,tiff_images - Copy1571.tif,269400,0.000,0.000,0,0,0,0,0,tiff_images - Copy1571.tif
1574,tiff_images - Copy1572.tif,53034,59.191,18.561,36,34,125,34,65535,tiff_images - Copy1572.tif
1575,tiff_images - Copy1573.tif,40280,173.651,38.451,204,94,252,94,65535,tiff_images - Copy1573.tif
1576,tiff_images - Copy1574.tif,79645,75.686,21.237,72,44,156,44,65535,tiff_images - Copy1574.tif
1577,tiff_images - Copy1575.tif,76530,221.007,56.988,225,123,397,123,65535,tiff_images - Copy1575.tif
1578,tiff_images - Copy1576.tif,192643,1120.207,61.514,1108,1008,1264,1008,65535,tiff_images - Copy1576.tif
1579,tiff_images - Copy1577.tif,269400,0.000,0.000,0,0,0,0,0,tiff_images - Copy1577.tif
1580,tiff_images - Copy1578.tif,79645,75.686,21.237,72,44,156,44,65535,tiff_images - Copy1578.tif
1581,tiff_images - Copy1579.tif,76530,221.007,56.988,225,123,397,123,65535,tiff_images - Copy1579.tif
1582,tiff_images - Copy1580.tif,78943,103.151,24.908,112,60,206,60,65535,tiff_images - Copy1580.tif
1583,tiff_images - Copy1581.tif,76420,204.262,46.966,234,114,342,114,65535,tiff_images - Copy1581.tif
1584,tiff_images - Copy1582.tif,192643,1120.207,61.514,1108,1008,1264,1008,65535,tiff_images - Copy1582.tif
1585,tiff_images - Copy1583.tif,269400,0.000,0.000,0,0,0,0,0,tiff_images - Copy1583.tif
1586,tiff_images - Copy1584.tif,78943,103.151,24.908,112,60,206,60,65535,tiff_images - Copy1584.tif
1587,tiff_images - Copy1585.tif,76420,204.262,46.966,234,114,342,114,65535,tiff_images - Copy1585.tif
1588,tiff_images - Copy1586.tif,52416,85.480,24.327,79,48,175,48,65535,tiff_images - Copy1586.tif
1589,tiff_images - Copy1587.tif,53048,232.866,62.808,226,126,445,126,65535,tiff_images - Copy1587.tif
1590,tiff_images - Copy1588.tif,192643,1120.207,61.514,1108,1008,1264,1008,65535,tiff_images - Copy1588.tif
1591,tiff_images - Copy1589.tif,269400,0.000,0.000,0,0,0,0,0,tiff_images - Copy1589.tif
1592,tiff_images - Copy1590.tif,52416,85.480,24.327,79,48,175,48,65535,tiff_images - Copy1590.tif
1593,tiff_images - Copy1591.tif,53048,232.866,62.808,226,126,445,126,65535,tiff_images - Copy1591.tif
1594,tiff_images - Copy1592.tif,87683,59.167,15.181,38,35,114,35,65535,tiff_images - Copy1592.tif
1595,tiff_images - Copy1593.tif,72281,221.619,42.175,240,120,318,120,65535,tiff_images - Copy1593.tif
1596,tiff_images - Copy1594.tif,192643,1120.207,61.514,1108,1008,1264,1008,65535,tiff_images - Copy1594.tif
1597,tiff_images - Copy1595.tif,269400,0.000,0.000,0,0,0,0,0,tiff_images - Copy1595.tif
1598,tiff_images - Copy1596.tif,87683,59.167,15.181,38,35,114,35,65535,tiff_images - Copy1596.tif
1599,tiff_images - Copy1597.tif,72281,221.619,42.175,240,120,318,120,65535,tiff_images - Copy1597.tif
1600,tiff_images - Copy1598.tif,62344,79.368,26.891,57,45,172,45,65535,tiff_images - Copy1598.tif
1601,tiff_images - Copy1599.tif,56956,149.243,47.598,96,82,293,82,65535,tiff_images - Copy1599.tif
1602,tiff_images - Copy1600.tif,192643,1120.207,61.514,1108,1008,1264,1008,65535,tiff_images - Copy1600.tif
1603,tiff_images - Copy1601.tif,269400,0.000,0.000,0,0,0,0,0,tiff_images - Copy1601.tif
1604,tiff_images - Copy1602.tif,62344,79.368,26.891,57,45,172,45,65535,tiff_images - Copy1602.tif
1605,tiff_images - Copy1603.tif,56956,149.243,47.598,96,82,293,82,65535,tiff_images - Copy1603.tif
1606,tiff_images - Copy1604.tif,50932,84.647,24.242,88,48,179,48,65535,tiff_images - Copy1604.tif
1607,tiff_images - Copy1605.tif,49788,202.837,50.697,224,110,374,110,65535,tiff_images - Copy1605.tif
1608,tiff_images - Copy1606.tif,192643,1120.207,61.514,1108,1008,1264,1008,65535,tiff_images - Copy1606.tif
1609,tiff_images - Copy1607.tif,269400,0.000,0.000,0,0,0,0,0,tiff_images - Copy1607.tif
1610,tiff_images - Copy1608.tif,50932,84.647,24.242,88,48,179,48,65535,tiff_images - Copy1608.tif
1611,tiff_images - Copy1609.tif,49788,202.837,50.697,224,110,374,110,65535,tiff_images - Copy1609.tif
1612,tiff_images - Copy1610.tif,69572,90.196,24.761,74,51,183,51,65535,tiff_images - Copy1610.tif
1613,tiff_images - Copy1611.tif,70319,242.764,58.905,289,132,442,132,65535,tiff_images - Copy1611.tif
1614,tiff_images - Copy1612.tif,192643,1120.207,61.514,1108,1008,1264,1008,65535,tiff_images - Copy1612.tif
1615,tiff_images - Copy1613.tif,269400,0.000,0.000,0,0,0,0,0,tiff_images - Copy1613.tif
1616,tiff_images - Copy1614.tif,69572,90.196,24.761,74,51,183,51,65535,tiff_images - Copy1614.tif
1617,tiff_images - Copy1615.tif,70319,242.764,58.905,289,132,442,132,65535,tiff_images - Copy1615.tif
1618,tiff_images - Copy1616.tif,98053,91.775,26.409,57,53,191,53,65535,tiff_images - Copy1616.tif
1619,tiff_images - Copy1617.tif,71842,240.703,56.565,257,130,420,130,65535,tiff_images - Copy1617.tif
1620,tiff_images - Copy1618.tif,192643,1120.207,61.514,1108,1008,1264,1008,65535,tiff_images - Copy1618.tif
1621,tiff_images - Copy1619.tif,269400,0.000,0.000,0,0,0,0,0,tiff_images - Copy1619.tif
1622,tiff_images - Copy1620.tif,98053,91.775,26.409,57,53,191,53,65535,tiff_images - Copy1620.tif
1623,tiff_images - Copy1621.tif,71842,240.703,56.565,257,130,420,130,65535,tiff_images - Copy1621.tif
1624,tiff_images - Copy1622.tif,59481,93.237,26.829,88,52,193,52,65535,tiff_images - Copy1622.tif
1625,tiff_images - Copy1623.tif,59753,222.685,55.805,225,120,413,120,65535,tiff_images - Copy1623.tif
1626,tiff_images - Copy1624.tif,192643,1120.207,61.514,1108,1008,1264,1008,65535,tiff_images - Copy1624.tif
1627,tiff_images - Copy1625.tif,269400,0.000,0.000,0,0,0,0,0,tiff_images - Copy1625.tif
1628,tiff_images - Copy1626.tif,59481,93.237,26.829,88,52,193,52,65535,tiff_images - Copy1626.tif
1629,tiff_images - Copy1627.tif,59753,222.685,55.805,225,120,413,120,65535,tiff_images - Copy1627.tif
1630,tiff_images - Copy1628.tif,56009,72.371,16.452,80,41,132,41,65535,tiff_images - Copy1628.tif
1631,tiff_images - Copy1629.tif,57342,218.293,48.109,236,118,366,118,65535,tiff_images - Copy1629.tif
1632,tiff_images - Copy1630.tif,192643,1120.207,61.514,1108,1008,1264,1008,65535,tiff_images - Copy1630.tif
1633,tiff_images - Copy1631.tif,269400,0.000,0.000,0,0,0,0,0,tiff_images - Copy1631.tif
1634,tiff_images - Copy1632.tif,56009,72.371,16.452,80,41,132,41,65535,tiff_images - Copy1632.tif
1635,tiff_images - Copy1633.tif,57342,218.293,48.109,236,118,366,118,65535,tiff_images - Copy1633.tif
1636,tiff_images - Copy1634.tif,43204,65.888,19.615,39,39,120,39,65535,tiff_images - Copy1634.tif
1637,tiff_images - Copy1635.tif,37389,150.526,48.660,86,83,276,83,65535,tiff_images - Copy1635.tif
1638,tiff_images - Copy1636.tif,192643,1120.207,61.514,1108,1008,1264,1008,65535,tiff_images - Copy1636.tif
1639,tiff_images - Copy1637.tif,269400,0.000,0.000,0,0,0,0,0,tiff_images - Copy1637.tif
1640,tiff_images - Copy1638.tif,43204,65.888,19.615,39,39,120,39,65535,tiff_images - Copy1638.tif
1641,tiff_images - Copy1639.tif,37389,150.526,48.660,86,83,276,83,65535,tiff_images - Copy1639.tif
1642,tiff_images - Copy1640.tif,67080,70.991,20.376,42,41,146,41,65535,tiff_images - Copy1640.tif
1643,tiff_images - Copy1641.tif,53808,165.781,43.645,222,90,273,90,65535,tiff_images - Copy1641.tif
1644,tiff_images - Copy1642.tif,192643,1120.207,61.514,1108,1008,1264,1008,65535,tiff_images - Copy1642.tif
1645,tiff_images - Copy1643.tif,269400,0.000,0.000,0,0,0,0,0,tiff_images - Copy1643.tif
1646,tiff_images - Copy1644.tif,67080,70.991,20.376,42,41,146,41,65535,tiff_images - Copy1644.tif
1647,tiff_images - Copy1645.tif,53808,165.781,43.645,222,90,273,90,65535,tiff_images - Copy1645.tif
1648,tiff_images - Copy1646.tif,86515,91.605,22.958,112,53,168,53,65535,tiff_images - Copy1646.tif
1649,tiff_images - Copy1647.tif,88432,243.645,58.036,276,134,398,134,65535,tiff_images - Copy1647.tif
1650,tiff_images - Copy1648.tif,192643,1120.207,61.514,1108,1008,1264,1008,65535,tiff_images - Copy1648.tif
1651,tiff_images - Copy1649.tif,269400,0.000,0.000,0,0,0,0,0,tiff_images - Copy1649.tif
1652,tiff_images - Copy1650.tif,86515,91.605,22.958,112,53,168,53,65535,tiff_images - Copy1650.tif
1653,tiff_images - Copy1651.tif,88432,243.645,58.036,276,134,398,134,65535,tiff_images - Copy1651.tif
1654,tiff_images - Copy1652.tif,72787,104.187,23.198,120,59,186,59,65535,tiff_images - Copy1652.tif
1655,tiff_images - Copy1653.tif,62448,209.307,45.233,240,114,315,114,65535,tiff_images - Copy1653.tif
1656,tiff_images - Copy1654.tif,192643,1120.207,61.514,1108,1008,1264,1008,65535,tiff_images - Copy1654.tif
1657,tiff_images - Copy1655.tif,269400,0.000,0.000,0,0,0,0,0,tiff_images - Copy1655.tif
1658,tiff_images - Copy1656.tif,72787,104.187,23.198,120,59,186,59,65535,tiff_images - Copy1656.tif
1659,tiff_images - Copy1657.tif,62448,209.307,45.233,240,114,315,114,65535,tiff_images - Copy1657.tif
1660,tiff_images - Copy1658.tif,76005,101.923,24.999,94,57,214,57,65535,tiff_images - Copy1658.tif
1661,tiff_images - Copy1659.tif,77749,233.451,49.155,239,128,429,128,65535,tiff_images - Copy1659.tif
1662,tiff_images - Copy1660.tif,192643,1120.207,61.514,1108,1008,1264,1008,65535,tiff_images - Copy1660.tif
1663,tiff_images - Copy1661.tif,269400,0.000,0.000,0,0,0,0,0,tiff_images - Copy1661.tif
1664,tiff_images - Copy1662.tif,76005,101.923,24.999,94,57,214,57,65535,tiff_images - Copy1662.tif
1665,tiff_images - Copy1663.tif,77749,233.451,49.155,239,128,429,128,65535,tiff_images - Copy1663.tif
1666,tiff_images - Copy1664.tif,57703,71.135,17.913,68,41,135,41,65535,tiff_images - Copy1664.tif
1667,tiff_images - Copy1665.tif,59790,201.316,51.934,228,110,351,110,65535,tiff_images - Copy1665.tif
1668,tiff_images - Copy1666.tif,192643,1120.207,61.514,1108,1008,1264,1008,65535,tiff_images - Copy1666.tif
1669,tiff_images - Copy1667.tif,269400,0.000,0.000,0,0,0,0,0,tiff_images - Copy1667.tif
1670,tiff_images - Copy1668.tif,57703,71.135,17.913,68,41,135,41,65535,tiff_images - Copy1668.tif
1671,tiff_images - Copy1669.tif,59790,201.316,51.934,228,110,351,110,65535,tiff_images - Copy1669.tif
1672,tiff_images - Copy1670.tif,53687,125.927,29.941,135,69,239,69,65535,tiff_images - Copy1670.tif
1673,tiff_images - Copy1671.tif,54756,213.845,47.045,243,116,355,116,65535,tiff_images - Copy1671.tif
1674,tiff_images - Copy1672.tif,192643,1120.207,61.514,1108,1008,1264,1008,65535,tiff_images - Copy1672.tif
1675,tiff_images - Copy1673.tif,269400,0.000,0.000,0,0,0,0,0,tiff_images - Copy1673.tif
1676,tiff_images - Copy1674.tif,53687,125.927,29.941,135,69,239,69,65535,tiff_images - Copy1674.tif
1677,tiff_images - Copy1675.tif,54756,213.845,47.045,243,116,355,116,65535,tiff_images - Copy1675.tif
1678,tiff_images - Copy1676.tif,99600,100.927,19.048,108,60,165,60,65535,tiff_images - Copy1676.tif
1679,tiff_images - Copy1677.tif,101467,207.327,39.297,223,116,314,116,65535,tiff_images - Copy1677.tif
1680,tiff_images - Copy1678.tif,192643,1120.207,61.514,1108,1008,1264,1008,65535,tiff_images - Copy1678.tif
1681,tiff_images - Copy1679.tif,269400,0.000,0.000,0,0,0,0,0,tiff_images - Copy1679.tif
1682,tiff_images - Copy1680.tif,99600,100.927,19.048,108,60,165,60,65535,tiff_images - Copy1680.tif
1683,tiff_images - Copy1681.tif,101467,207.327,39.297,223,116,314,116,65535,tiff_images - Copy1681.tif
1684,tiff_images - Copy1682.tif,107822,10.288,3.227,7,7,55,7,65535,tiff_images - Copy1682.tif
1685,tiff_images - Copy1683.tif,83004,10.578,3.641,7,7,55,7,65535,tiff_images - Copy1683.tif
1686,tiff_images - Copy1684.tif,192643,1120.207,61.514,1108,1008,1264,1008,65535,tiff_images - Copy1684.tif
1687,tiff_images - Copy1685.tif,269400,0.000,0.000,0,0,0,0,0,tiff_images - Copy1685.tif
1688,tiff_images - Copy1686.tif,107822,10.288,3.227,7,7,55,7,65535,tiff_images - Copy1686.tif
1689,tiff_images - Copy1687.tif,83004,10.578,3.641,7,7,55,7,65535,tiff_images - Copy1687.tif
