 ,Label,Area,Mean,StdDev,Mode,Min,Max,MinThr,MaxThr,Filename
1,Tiff files - May2025 - Copy0006.tif,8916,295.716,72.495,334,154,492,154,65535,Tiff files - May2025 - Copy0006.tif
2,tiff_images_copy0000.tif,27246,169.614,43.653,176,91,340,91,65535,tiff_images_copy0000.tif
3,tiff_images_copy0001.tif,27342,468.030,108.935,503,244,799,244,65535,tiff_images_copy0001.tif
4,tiff_images_copy0002.tif,281645,0.000,0.000,0,0,0,0,0,tiff_images_copy0002.tif
5,tiff_images_copy0003.tif,281645,0.000,0.000,0,0,0,0,0,tiff_images_copy0003.tif
6,tiff_images_copy0004.tif,27246,169.614,43.653,176,91,340,91,65535,tiff_images_copy0004.tif
7,tiff_images_copy0005.tif,27342,468.030,108.935,503,244,799,244,65535,tiff_images_copy0005.tif
8,tiff_images_copy0006.tif,33538,186.456,40.952,202,100,334,100,65535,tiff_images_copy0006.tif
9,tiff_images_copy0007.tif,32393,435.062,92.860,469,229,695,229,65535,tiff_images_copy0007.tif
10,tiff_images_copy0008.tif,281645,0.000,0.000,0,0,0,0,0,tiff_images_copy0008.tif
11,tiff_images_copy0009.tif,281645,0.000,0.000,0,0,0,0,0,tiff_images_copy0009.tif
12,tiff_images_copy0010.tif,33538,186.456,40.952,202,100,334,100,65535,tiff_images_copy0010.tif
13,tiff_images_copy0011.tif,32393,435.062,92.860,469,229,695,229,65535,tiff_images_copy0011.tif
14,tiff_images_copy0012.tif,12565,165.503,39.553,163,88,270,88,65535,tiff_images_copy0012.tif
15,tiff_images_copy0013.tif,12402,442.133,101.825,511,230,715,230,65535,tiff_images_copy0013.tif
16,tiff_images_copy0014.tif,281645,0.000,0.000,0,0,0,0,0,tiff_images_copy0014.tif
17,tiff_images_copy0015.tif,281645,0.000,0.000,0,0,0,0,0,tiff_images_copy0015.tif
18,tiff_images_copy0016.tif,12565,165.503,39.553,163,88,270,88,65535,tiff_images_copy0016.tif
19,tiff_images_copy0017.tif,12402,442.133,101.825,511,230,715,230,65535,tiff_images_copy0017.tif
20,tiff_images_copy0018.tif,12734,163.437,38.108,172,87,277,87,65535,tiff_images_copy0018.tif
21,tiff_images_copy0019.tif,12361,430.500,97.458,417,224,688,224,65535,tiff_images_copy0019.tif
22,tiff_images_copy0020.tif,281645,0.000,0.000,0,0,0,0,0,tiff_images_copy0020.tif
23,tiff_images_copy0021.tif,281645,0.000,0.000,0,0,0,0,0,tiff_images_copy0021.tif
24,tiff_images_copy0022.tif,12734,163.437,38.108,172,87,277,87,65535,tiff_images_copy0022.tif
25,tiff_images_copy0023.tif,12361,430.500,97.458,417,224,688,224,65535,tiff_images_copy0023.tif
26,tiff_images_copy0024.tif,49383,203.585,49.819,217,108,341,108,65535,tiff_images_copy0024.tif
27,tiff_images_copy0025.tif,47945,489.756,113.606,567,258,783,258,65535,tiff_images_copy0025.tif
28,tiff_images_copy0026.tif,281645,0.000,0.000,0,0,0,0,0,tiff_images_copy0026.tif
29,tiff_images_copy0027.tif,281645,0.000,0.000,0,0,0,0,0,tiff_images_copy0027.tif
30,tiff_images_copy0028.tif,49383,203.585,49.819,217,108,341,108,65535,tiff_images_copy0028.tif
31,tiff_images_copy0029.tif,47945,489.756,113.606,567,258,783,258,65535,tiff_images_copy0029.tif
32,tiff_images_copy0030.tif,49446,191.975,41.121,217,102,311,102,65535,tiff_images_copy0030.tif
33,tiff_images_copy0031.tif,48275,469.866,103.835,542,246,722,246,65535,tiff_images_copy0031.tif
34,tiff_images_copy0032.tif,281645,0.000,0.000,0,0,0,0,0,tiff_images_copy0032.tif
35,tiff_images_copy0033.tif,281645,0.000,0.000,0,0,0,0,0,tiff_images_copy0033.tif
36,tiff_images_copy0034.tif,49446,191.975,41.121,217,102,311,102,65535,tiff_images_copy0034.tif
37,tiff_images_copy0035.tif,48275,469.866,103.835,542,246,722,246,65535,tiff_images_copy0035.tif
38,tiff_images_copy0036.tif,19451,183.730,41.148,209,97,275,97,65535,tiff_images_copy0036.tif
39,tiff_images_copy0037.tif,19346,477.961,110.966,488,247,708,247,65535,tiff_images_copy0037.tif
40,tiff_images_copy0038.tif,281645,0.000,0.000,0,0,0,0,0,tiff_images_copy0038.tif
41,tiff_images_copy0039.tif,281645,0.000,0.000,0,0,0,0,0,tiff_images_copy0039.tif
42,tiff_images_copy0040.tif,19451,183.730,41.148,209,97,275,97,65535,tiff_images_copy0040.tif
43,tiff_images_copy0041.tif,19346,477.961,110.966,488,247,708,247,65535,tiff_images_copy0041.tif
44,tiff_images_copy0042.tif,19320,199.283,44.908,220,106,317,106,65535,tiff_images_copy0042.tif
45,tiff_images_copy0043.tif,18819,470.871,107.159,533,243,739,243,65535,tiff_images_copy0043.tif
46,tiff_images_copy0044.tif,281645,0.000,0.000,0,0,0,0,0,tiff_images_copy0044.tif
47,tiff_images_copy0045.tif,281645,0.000,0.000,0,0,0,0,0,tiff_images_copy0045.tif
48,tiff_images_copy0046.tif,19320,199.283,44.908,220,106,317,106,65535,tiff_images_copy0046.tif
49,tiff_images_copy0047.tif,18819,470.871,107.159,533,243,739,243,65535,tiff_images_copy0047.tif
50,tiff_images_copy0048.tif,28361,213.718,52.583,178,114,362,114,65535,tiff_images_copy0048.tif
51,tiff_images_copy0049.tif,27749,497.820,123.048,596,259,796,259,65535,tiff_images_copy0049.tif
52,tiff_images_copy0050.tif,281645,0.000,0.000,0,0,0,0,0,tiff_images_copy0050.tif
53,tiff_images_copy0051.tif,281645,0.000,0.000,0,0,0,0,0,tiff_images_copy0051.tif
54,tiff_images_copy0052.tif,28361,213.718,52.583,178,114,362,114,65535,tiff_images_copy0052.tif
55,tiff_images_copy0053.tif,27749,497.820,123.048,596,259,796,259,65535,tiff_images_copy0053.tif
56,tiff_images_copy0054.tif,28929,228.891,49.866,253,120,365,120,65535,tiff_images_copy0054.tif
57,tiff_images_copy0055.tif,28274,500.578,110.887,539,259,787,259,65535,tiff_images_copy0055.tif
58,tiff_images_copy0056.tif,281645,0.000,0.000,0,0,0,0,0,tiff_images_copy0056.tif
59,tiff_images_copy0057.tif,281645,0.000,0.000,0,0,0,0,0,tiff_images_copy0057.tif
60,tiff_images_copy0058.tif,28929,228.891,49.866,253,120,365,120,65535,tiff_images_copy0058.tif
61,tiff_images_copy0059.tif,28274,500.578,110.887,539,259,787,259,65535,tiff_images_copy0059.tif
62,tiff_images_copy0060.tif,34902,179.703,38.954,205,96,301,96,65535,tiff_images_copy0060.tif
63,tiff_images_copy0061.tif,33685,489.742,109.049,568,256,751,256,65535,tiff_images_copy0061.tif
64,tiff_images_copy0062.tif,281645,0.000,0.000,0,0,0,0,0,tiff_images_copy0062.tif
65,tiff_images_copy0063.tif,281645,0.000,0.000,0,0,0,0,0,tiff_images_copy0063.tif
66,tiff_images_copy0064.tif,34902,179.703,38.954,205,96,301,96,65535,tiff_images_copy0064.tif
67,tiff_images_copy0065.tif,33685,489.742,109.049,568,256,751,256,65535,tiff_images_copy0065.tif
68,tiff_images_copy0066.tif,32197,209.235,46.745,202,111,350,111,65535,tiff_images_copy0066.tif
69,tiff_images_copy0067.tif,32138,437.118,101.116,439,229,720,229,65535,tiff_images_copy0067.tif
70,tiff_images_copy0068.tif,281645,0.000,0.000,0,0,0,0,0,tiff_images_copy0068.tif
71,tiff_images_copy0069.tif,281645,0.000,0.000,0,0,0,0,0,tiff_images_copy0069.tif
72,tiff_images_copy0070.tif,32197,209.235,46.745,202,111,350,111,65535,tiff_images_copy0070.tif
