 ,Label,Area,Mean,StdDev,Mode,Min,Max,MinThr,MaxThr,Filename
1,tiff_images_copy:12-A1-PHI.tif:1,44501,83.443,23.513,80,47,170,47,65535,tiff_images_copy
2,tiff_images_copy0000.tif,44501,83.443,23.513,80,47,170,47,65535,tiff_images_copy0000.tif
3,tiff_images_copy0001.tif,46124,208.936,52.017,212,111,348,111,65535,tiff_images_copy0001.tif
4,tiff_images_copy0002.tif,293904,0.000,0.000,0,0,0,0,0,tiff_images_copy0002.tif
5,tiff_images_copy0003.tif,293904,0.000,0.000,0,0,0,0,0,tiff_images_copy0003.tif
6,tiff_images_copy0004.tif,44501,83.443,23.513,80,47,170,47,65535,tiff_images_copy0004.tif
7,tiff_images_copy0005.tif,46124,208.936,52.017,212,111,348,111,65535,tiff_images_copy0005.tif
8,tiff_images_copy0006.tif,51669,81.411,24.232,75,46,170,46,65535,tiff_images_copy0006.tif
9,tiff_images_copy0007.tif,51488,238.445,59.799,285,126,406,126,65535,tiff_images_copy0007.tif
10,tiff_images_copy0008.tif,293904,0.000,0.000,0,0,0,0,0,tiff_images_copy0008.tif
11,tiff_images_copy0009.tif,293904,0.000,0.000,0,0,0,0,0,tiff_images_copy0009.tif
12,tiff_images_copy0010.tif,51669,81.411,24.232,75,46,170,46,65535,tiff_images_copy0010.tif
13,tiff_images_copy0011.tif,51488,238.445,59.799,285,126,406,126,65535,tiff_images_copy0011.tif
14,tiff_images_copy0012.tif,35671,82.821,18.532,89,46,144,46,65535,tiff_images_copy0012.tif
15,tiff_images_copy0013.tif,36192,227.486,64.112,168,120,384,120,65535,tiff_images_copy0013.tif
16,tiff_images_copy0014.tif,293904,0.000,0.000,0,0,0,0,0,tiff_images_copy0014.tif
17,tiff_images_copy0015.tif,293904,0.000,0.000,0,0,0,0,0,tiff_images_copy0015.tif
18,tiff_images_copy0016.tif,35671,82.821,18.532,89,46,144,46,65535,tiff_images_copy0016.tif
19,tiff_images_copy0017.tif,36192,227.486,64.112,168,120,384,120,65535,tiff_images_copy0017.tif
20,tiff_images_copy0018.tif,43035,107.040,26.210,128,58,238,58,65535,tiff_images_copy0018.tif
21,tiff_images_copy0019.tif,41030,203.079,56.836,130,108,332,108,65535,tiff_images_copy0019.tif
22,tiff_images_copy0020.tif,293904,0.000,0.000,0,0,0,0,0,tiff_images_copy0020.tif
23,tiff_images_copy0021.tif,293904,0.000,0.000,0,0,0,0,0,tiff_images_copy0021.tif
24,tiff_images_copy0022.tif,43035,107.040,26.210,128,58,238,58,65535,tiff_images_copy0022.tif
25,tiff_images_copy0023.tif,41030,203.079,56.836,130,108,332,108,65535,tiff_images_copy0023.tif
26,tiff_images_copy0024.tif,62497,135.841,33.156,128,73,261,73,65535,tiff_images_copy0024.tif
27,tiff_images_copy0025.tif,62331,268.655,58.586,301,143,428,143,65535,tiff_images_copy0025.tif
28,tiff_images_copy0026.tif,293904,0.000,0.000,0,0,0,0,0,tiff_images_copy0026.tif
