Date,SampleID,Status,Binary_Fate,Notes
5/10/26,MC-204-A1-pHI,Alive,1,
5/10/26,MC-206-A1-pHi,Alive,1,
5/10/26,MC-209-A1-pHi,Alive,1,
5/10/26,MC-211-A1-pHi,Alive,1,
5/10/26,MC-213-A1-pHi,Alive,1,
5/10/26,MC-214-A1-pHi,Alive,1,
5/10/26,MC-221-A1-pHi,Alive,1,
5/10/26,MC-221-A3-pHi,Alive,1,
5/10/26,MC-213-A3-pHi,Alive,1,
5/10/26,MC-206-A3-pHi,Alive,1,
5/10/26,MC-214-A3-pHi,Alive,1,
5/10/26,MC-204-A3-pHi,Alive,1,
5/10/26,MC-203-A3-pHi,Alive,1,
5/10/26,MC-20-A3-pHi,Alive,1,
5/10/26,MC-209-A3-pHi,Alive,1,
5/10/26,MC-12-A3-pHi,Alive,1,
5/10/26,MC-20-A2-pHi,Alive,1,
5/10/26,MC-206-A2-pHi,Alive,1,
5/10/26,MC-19-A2-pHi,Alive,1,
5/10/26,MC-213-A2-pHi,Alive,1,
5/10/26,MC-209-A2-pHi,Alive,1,
5/10/26,MC-203-A2-pHi,Alive,1,
5/10/26,MC-12-A2-pHi,Alive,1,
5/10/26,MC-204-A2-pHi,Alive,1,
5/10/26,MC-214-A2-pHi,Alive,1,
5/10/26,MC-221-A2-pHi,Alive,1,
5/10/26,MC-221-H2-pHi,Alive,1,
5/10/26,MC-206-H2-pHi,Alive,1,
5/10/26,MC-209-H2-pHi,Alive,1,
5/10/26,MC-12-H2-pHi,Alive,1,
5/10/26,MC-20-H2-pHi,Alive,1,
5/10/26,MC-19-H2-pHi,Alive,1,
5/10/26,MC-211-H2-pHi,Alive,1,
5/10/26,MC-203-H2-pHi,Alive,1,
5/10/26,MC-214-H2-pHi,Alive,1,
5/10/26,MC-204-H2-pHi,Alive,1,
5/10/26,MC-206-H3-pHi,Alive,1,
5/10/26,MC-203-H3-pHi,Alive,1,
5/10/26,MC-214-H3-pHi,Alive,1,
5/10/26,MC-204-H3-pHi,Alive,1,
5/10/26,MC-209-H3-pHi,Alive,1,
5/10/26,MC-221-H3-pHi,Alive,1,
5/10/26,MC-211-H3-pHi,Alive,1,
5/10/26,MC-12-H3-pHi,Alive,1,
5/10/26,MC-20-H3-pHi,Alive,1,
5/10/26,MC-213-H3-pHi,Alive,1,
5/10/26,MC-19-H3-pHi,Alive,1,
5/10/26,MC-221-H1-pHi,Alive,1,
5/10/26,MC-213-H1-pHi,Alive,1,
5/10/26,MC-12-H1-pHi,Alive,1,
5/10/26,MC-206-H1-pHi,Alive,1,
5/10/26,MC-204-H1-pHi,Alive,1,
5/10/26,MC-209-H1-pHi,Alive,1,
5/10/26,MC-19-H1-pHi,Alive,1,
5/10/26,MC-20-H1-pHi,Alive,1,
5/10/26,MC-214-H1-pHi,Alive,1,
5/10/26,MC-203-H1-pHi,Alive,1,
